ID_IBGE;Municipio;Populacao_2022;Privatizacao;Escolas
3500105;Adamantina;34357;;
3500204;Adolfo;4339;;
3500303;Aguaí;31561;;
3500402;Águas da Prata;7075;;
3500501;Águas de Lindóia;18859;;
3500550;Águas de Santa Bárbara;7118;;
3500600;Águas de São Pedro;3097;;
3500709;Agudos;37525;;
3500758;Alambari;6086;;
3500808;Alfredo Marcondes;4458;;
3500907;Altair;3383;;
3501004;Altinópolis;16845;;
3501103;Alto Alegre;3837;;
3501152;Alumínio;17170;;
3501202;Álvares Florence;3881;;
3501301;Álvares Machado;27361;;
3501400;Álvaro de Carvalho;4716;;
3501509;Alvinlândia;2893;;
3501608;Americana;243674;;
3501707;Américo Brasiliense;31996;;
3501806;Américo de Campos;5790;;
3501905;Amparo;69952;;
3502002;Analândia;4577;;
3502101;Andradina;59464;;
3502200;Angatuba;23928;;
3502309;Anhembi;5659;;
3502408;Anhumas;4005;;
3502507;Aparecida;32927;;
3502606;Aparecida d'Oeste;4030;;
3502705;Apiaí;24978;;
3503000;Aramina;5419;;
3503109;Arandu;6654;;
3503158;Arapeí;2469;;
3503208;Araraquara;250304;;
3503307;Araras;131300;;
3502754;Araçariguama;22673;;
3502804;Araçatuba;213929;;
3502903;Araçoiaba da Serra;32922;;
3503356;Arco-Íris;2044;;
3503406;Arealva;8079;;
3503505;Areias;3616;;
3503604;Areiópolis;9805;;
3503703;Ariranha;7595;;
3503802;Artur Nogueira;55352;;
3503901;Arujá;97595;;
3503950;Aspásia;1860;;
3504008;Assis;100447;;
3504107;Atibaia;171672;;
3504206;Auriflama;13432;;
3504305;Avaí;4553;;
3504404;Avanhandava;11257;;
3504503;Avaré;92659;;
3504602;Bady Bassitt;26991;;
3504701;Balbinos;3886;;
3504800;Bálsamo;9598;;
3504909;Bananal;9690;;
3505005;Barão de Antonina;3533;;
3505104;Barbosa;5623;;
3505203;Bariri;31584;;
3505302;Barra Bonita;34430;;
3505351;Barra do Chapéu;5135;;
3505401;Barra do Turvo;7318;;
3505500;Barretos;119427;;
3505609;Barrinha;32465;;
3505708;Barueri;342613;;
3505807;Bastos;21516;;
3505906;Batatais;59342;;
3506003;Bauru;388686;;
3506102;Bebedouro;75709;;
3506201;Bento de Abreu;2606;;
3506300;Bernardino de Campos;11623;;
3506359;Bertioga;64018;;
3506409;Bilac;7310;;
3506508;Birigui;118365;;
3506607;Biritiba Mirim;30195;;
3506706;Boa Esperança do Sul;12722;;
3506805;Bocaina;11265;;
3506904;Bofete;9943;;
3507001;Boituva;64799;;
3507100;Bom Jesus dos Perdões;24365;;
3507159;Bom Sucesso de Itararé;3585;;
3507209;Borá;877;;
3507308;Boracéia;4720;;
3507407;Borborema;13366;;
3507456;Borebi;2722;;
3507506;Botucatu;145272;;
3507605;Bragança Paulista;181556;;
3507704;Braúna;5358;;
3507753;Brejo Alegre;2561;;
3507803;Brodowski;25334;;
3507902;Brotas;23751;;
3508009;Buri;20038;;
3508108;Buritama;17203;;
3508207;Buritizal;4253;;
3508306;Cabrália Paulista;4299;;
3508405;Cabreúva;45941;;
3508603;Cachoeira Paulista;32390;;
3508702;Caconde;16947;;
3508801;Cafelândia;16478;;
3508900;Caiabu;3712;;
3509007;Caieiras;98600;;
3509106;Caiuá;5437;;
3509205;Cajamar;101500;;
3509254;Cajati;28834;;
3509304;Cajobi;9129;;
3509403;Cajuru;23845;;
3509452;Campina do Monte Alegre;5992;;
3509502;Campinas;1170247;;
3509601;Campo Limpo Paulista;81355;;
3509700;Campos do Jordão;45177;;
3509809;Campos Novos Paulista;4837;;
3509908;Cananéia;13615;;
3509957;Canas;4954;;
3510005;Cândido Mota;29530;;
3510104;Cândido Rodrigues;2907;;
3510153;Canitar;6369;;
3510203;Capão Bonito;46215;;
3510302;Capela do Alto;22679;;
3510401;Capivari;50954;;
3510500;Caraguatatuba;132558;;
3510609;Carapicuíba;406221;;
3510708;Cardoso;11288;;
3510807;Casa Branca;28107;;
3510906;Cássia dos Coqueiros;2777;;
3511003;Castilho;19902;;
3511102;Catanduva;114953;;
3511201;Catiguá;7004;;
3508504;Caçapava;96530;;
3511300;Cedral;11922;;
3511409;Cerqueira César;21440;;
3511508;Cerquilho;44024;;
3511607;Cesário Lange;18811;;
3511706;Charqueada;15739;;
3557204;Chavantes;12090;;
3511904;Clementina;7005;;
3512001;Colina;18411;;
3512100;Colômbia;6642;;
3512209;Conchal;28184;;
3512308;Conchas;17184;;
3512407;Cordeirópolis;26585;;
3512506;Coroados;5395;;
3512605;Coronel Macedo;4226;;
3512704;Corumbataí;4667;;
3512803;Cosmópolis;59715;;
3512902;Cosmorama;9315;;
3513009;Cotia;289622;;
3513108;Cravinhos;33252;;
3513207;Cristais Paulista;9375;;
3513306;Cruzália;2086;;
3513405;Cruzeiro;75592;;
3513504;Cubatão;128645;;
3513603;Cunha;22125;;
3513702;Descalvado;31916;;
3513801;Diadema;404738;;
3513850;Dirce Reis;1621;;
3513900;Divinolândia;11137;;
3514007;Dobrada;8765;;
3514106;Dois Córregos;24170;;
3514205;Dolcinópolis;2511;;
3514304;Dourado;8233;;
3514403;Dracena;45248;;
3514502;Duartina;12329;;
3514601;Dumont;9476;;
3514700;Echaporã;6157;;
3514809;Eldorado;13402;;
3514908;Elias Fausto;17832;;
3514924;Elisiário;3141;;
3514957;Embaúba;2331;;
3515004;Embu das Artes;277249;;
3515103;Embu-Guaçu;63129;;
3515129;Emilianópolis;3002;;
3515152;Engenheiro Coelho;20119;;
3515186;Espírito Santo do Pinhal;39700;;
3515194;Espírito Santo do Turvo;4095;;
3557303;Estiva Gerbi;11394;;
3515202;Estrela d'Oeste;9405;;
3515301;Estrela do Norte;2596;;
3515350;Euclides da Cunha Paulista;7831;;
3515400;Fartura;16782;;
3515608;Fernando Prestes;5925;;
3515509;Fernandópolis;71826;;
3515657;Fernão;1660;;
3515707;Ferraz de Vasconcelos;187253;;
3515806;Flora Rica;1487;;
3515905;Floreal;2735;;
3516002;Flórida Paulista;13009;;
3516101;Florínea;3860;;
3516200;Franca;370378;;
3516309;Francisco Morato;182265;;
3516408;Franco da Rocha;159367;;
3516507;Gabriel Monteiro;2760;;
3516606;Gália;6054;;
3516705;Garça;41395;;
3516804;Gastão Vidigal;3234;;
3516853;Gavião Peixoto;4688;;
3516903;General Salgado;10301;;
3517000;Getulina;10011;;
3517109;Glicério;4132;;
3517307;Guaimbê;5439;;
3517406;Guaíra;39351;;
3517208;Guaiçara;11214;;
3517604;Guapiara;16579;;
3517505;Guapiaçu;21664;;
3517703;Guará;18607;;
3517901;Guaraci;10347;;
3518008;Guarani d'Oeste;1948;;
3518107;Guarantã;6427;;
3518206;Guararapes;31017;;
3518305;Guararema;32579;;
3518404;Guaratinguetá;116847;;
3517802;Guaraçaí;7344;;
